;d;d;d;d;d;;;renewable;renewable;renewable;renewable;renewable;;;
h4851;31938;36729;45717;43596;43411;;h4851;0,039997221;0,016655811;0,066572258;0,031259573;0,025451394;;;
h4852;31961;38008;46655;44325;44379;;h4852;0,037044756;0,014484662;0,068597324;0,030557541;0,023243391;;;
h4853;31726;40709;49546;47109;46654;;h4853;0,031834523;0,012980367;0,072845713;0,03491014;0,023694488;;;
h4854;32407;48532;56797;54495;53585;;h4854;0,038868337;0,026456996;0,074276004;0,051414276;0,03779722;;;
h4855;34802;54936;63170;60903;59691;;h4855;0,069990795;0,064343538;0,087247752;0,082329215;0,068768623;;;
h4856;38518;59308;66761;64192;62897;;h4856;0,132496223;0,138627834;0,116080153;0,124132033;0,113225466;;;
h4857;41870;61000;68280;65459;64449;;h4857;0,198631445;0,216525542;0,154627204;0,176235576;0,171476395;;;
h4858;44550;62928;70226;67192;65687;;h4858;0,236944025;0,284110294;0,20491397;0,228211478;0,223447572;;;
h4859;47141;64631;71399;68656;67068;;h4859;0,253790444;0,331441332;0,25709835;0,271329011;0,259654079;;;
h4860;46020;63961;70304;67892;66769;;h4860;0,267111273;0,354750163;0,290731431;0,297559481;0,27350752;;;
h4861;43581;63237;69580;67143;65804;;h4861;0,292832456;0,362426724;0,308461375;0,303571429;0,275525588;;;
h4862;42578;62573;68628;66138;64209;;h4862;0,297643238;0,352641047;0,309466827;0,290526396;0,261066727;;;
h4863;41975;61445;67635;65187;62664;;h4863;0,280571042;0,322586148;0,297528854;0,261947309;0,233371716;;;
h4864;41479;59923;65851;63250;61221;;h4864;0,24369996;0,27249465;0,270240034;0,223629123;0,190493714;;;
h4865;42187;59337;65204;61905;60579;;h4865;0,188853575;0,207468751;0,237612405;0,178826713;0,150084878;;;
h4866;43521;58804;64112;60953;59652;;h4866;0,125132427;0,137309637;0,196558805;0,140074543;0,110791913;;;
h4867;43741;58008;62946;59936;58142;;h4867;0,062123344;0,074160231;0,141258939;0,109925457;0,083583613;;;
h4868;43329;55249;60474;57090;55263;;h4868;0,021709304;0,035777426;0,098336048;0,07938068;0,059639834;;;
h4869;43261;53218;58871;55564;53260;;h4869;0,01073308;0,031295555;0,100785952;0,067305729;0,053823051;;;
h4870;43535;50925;56359;53209;50991;;h4870;0,014953368;0,037033591;0,108305601;0,061689472;0,05573428;;;
h4871;39961;46312;51815;48554;47153;;h4871;0,020528318;0,040833101;0,104241309;0,054809558;0,056137893;;;
h4872;37312;42923;48535;45384;43969;;h4872;0,028323348;0,043456691;0,095476035;0,053472524;0,048243688;;;
h4873;35632;41090;46367;43631;41929;;h4873;0,036763046;0,040107905;0,089714917;0,045075168;0,043519035;;;
h4874;34815;40223;45255;42787;41224;;h4874;0,044872797;0,035983938;0,081052006;0,042101636;0,039862771;;;
h4875;35334;40301;45158;42857;40694;;h4875;0,049005817;0,031100293;0,073507346;0,041884683;0,035066893;;;
h4876;36931;41190;46122;43860;40520;;h4876;0,055431102;0,026108122;0,07076126;0,046989459;0,032122888;;;
h4877;40411;43352;48819;46650;40475;;h4877;0,064322306;0,030418133;0,069855335;0,049605656;0,030508434;;;
h4878;48217;50081;55901;53859;42523;;h4878;0,077103412;0,046092309;0,073379951;0,054940147;0,036930638;;;
h4879;54817;56184;62231;59541;46051;;h4879;0,109785534;0,077580193;0,096834923;0,070573522;0,055449376;;;
h4880;59023;59587;65881;62615;49575;;h4880;0,173170096;0,137672284;0,151374459;0,10505628;0,08439084;;;
h4881;60864;61302;67265;63658;52237;;h4881;0,262151602;0,210306817;0,220168162;0,147081345;0,125025226;;;
h4882;62645;63468;68972;64785;54205;;h4882;0,345576105;0,273794205;0,2939303;0,191275939;0,163689028;;;
h4883;64653;64841;70618;66825;55080;;h4883;0,39546757;0,314878839;0,355844634;0,2285408;0,18815513;;;
h4884;64069;64192;70102;66417;54174;;h4884;0,417678215;0,336847491;0,384876709;0,245999132;0,198340436;;;
h4885;63047;63760;69424;65133;52576;;h4885;0,425006512;0,338723431;0,389151544;0,243957222;0,20164057;;;
h4886;62023;62908;68181;63991;50796;;h4886;0,410940349;0,322212059;0,380035671;0,241175119;0,196452949;;;
h4887;60601;61873;66918;62952;50130;;h4887;0,374541981;0,288569169;0,360699827;0,233045764;0,184107124;;;
h4888;58956;60308;65181;61905;49980;;h4888;0,313571243;0,23663199;0,333706084;0,211848184;0,157599212;;;
h4889;58395;58918;64406;61113;50087;;h4889;0,235304333;0,17402831;0,287404807;0,171813982;0,119576443;;;
h4890;57774;58080;63541;60090;49808;;h4890;0,147607884;0,12567247;0,23246893;0,121417086;0,08017664;;;
h4891;57020;56949;62605;59287;48754;;h4891;0,073491361;0,085006434;0,177023469;0,070624569;0,048694785;;;
h4892;54785;54705;60136;56530;46618;;h4892;0,036346271;0,059751012;0,127027716;0,033219327;0,028181721;;;
h4893;52904;52507;58664;54837;45533;;h4893;0,036259443;0,063022279;0,106899187;0,020610531;0,023148423;;;
h4894;50368;49586;56439;52657;44676;;h4894;0,048832161;0,065766422;0,104407893;0,018913193;0,024691651;;;
h4895;45060;45052;51866;48283;41972;;h4895;0,054979595;0,064448613;0,101633497;0,018811098;0,022412422;;;
h4896;41783;42206;48581;45229;39302;;h4896;0,056616549;0,064496629;0,094746969;0,020092105;0,019195385;;;
h4897;39969;40454;46631;43289;37246;;h4897;0,054012292;0,062807099;0,081999915;0,022018395;0,014993055;;;
h4898;39030;39437;45419;42257;36347;;h4898;0,051807354;0,056777494;0,074699716;0,024365664;0,012595116;;;
h4899;39223;39716;45489;42406;35725;;h4899;0,048144033;0,051367899;0,07223802;0,025641353;0,010624533;;;
h4900;40297;40852;46327;43396;35629;;h4900;0,041789645;0,04969387;0,067668322;0,025730651;0,009473047;;;
h4901;42969;43347;48939;46143;35382;;h4901;0,035192194;0,049926374;0,062561012;0,027567643;0,010600791;;;
h4902;49836;50245;55673;52992;36043;;h4902;0,047310671;0,05431295;0,071728704;0,039431553;0,02010945;;;
h4903;56229;56586;62006;58547;38388;;h4903;0,085263377;0,072835775;0,0930351;0,069091327;0,04213013;;;
h4904;60496;59964;65463;61692;41413;;h4904;0,148581548;0,115849027;0,1425944;0,110512955;0,076591602;;;
h4905;61986;61251;66875;62885;44250;;h4905;0,226466197;0,173060529;0,207008757;0,167765886;0,12434858;;;
h4906;63692;62993;68850;64668;46383;;h4906;0,303795271;0,224397427;0,268904829;0,223832425;0,170859103;;;
h4907;65363;64604;70165;65559;48137;;h4907;0,364196673;0,252638921;0,312239152;0,261235633;0,208490129;;;
h4908;64980;64437;69813;65235;48148;;h4908;0,394458141;0,268790204;0,339784672;0,279720369;0,236458173;;;
h4909;64232;63991;69238;63808;47048;;h4909;0,397930484;0,267720685;0,330319879;0,279082524;0,24557509;;;
h4910;63135;62282;68021;62402;46332;;h4910;0,379891663;0,236906146;0,309876491;0,263110896;0,238903596;;;
h4911;61835;60686;66886;61157;45186;;h4911;0,344751554;0,194900411;0,281510406;0,241079743;0,212728071;;;
h4912;60052;59710;65309;60104;45233;;h4912;0,293603945;0,166364411;0,242972143;0,210769368;0,181459894;;;
h4913;59326;59579;64583;59837;45946;;h4913;0,226657176;0,1314113;0,208522558;0,171133705;0,138261375;;;
h4914;58877;59392;63642;59382;47098;;h4914;0,152088614;0,100193753;0,143315932;0,133284007;0,090492527;;;
h4915;57775;57793;62582;58217;47116;;h4915;0,081860481;0,076803844;0,091125164;0,102169947;0,046403685;;;
h4916;54951;54990;60340;55509;46466;;h4916;0,049394076;0,049011858;0,06895576;0,093865211;0,019314094;;;
h4917;53099;53159;58596;54148;46573;;h4917;0,052623355;0,032287065;0,059137275;0,123231576;0,012025309;;;
h4918;51164;50633;55753;52064;46780;;h4918;0,064273065;0,024211424;0,053732864;0,1553917;0,012915633;;;
h4919;46200;45995;51172;47978;43878;;h4919;0,067571791;0,017747811;0,046687322;0,168493028;0,013402343;;;
h4920;42523;43017;48068;45455;41122;;h4920;0,06201833;0,018100669;0,047757058;0,171427113;0,013032332;;;
h4921;40771;41489;46303;42737;39334;;h4921;0,052280775;0,017759732;0,043303691;0,179170547;0,012094668;;;
h4922;39913;40688;45088;41256;38553;;h4922;0,042005138;0,014877263;0,043586445;0,162395234;0,011608033;;;
h4923;39953;40863;45308;40419;38908;;h4923;0,033916545;0,011932804;0,044166089;0,160762352;0,011062052;;;
h4924;41045;41713;46171;40325;40160;;h4924;0,027320697;0,009375775;0,040348918;0,153274056;0,010480463;;;
h4925;43457;44507;49129;40462;43604;;h4925;0,023970701;0,007903546;0,03827068;0,14763551;0,012521958;;;
h4926;50559;50930;55875;42144;51466;;h4926;0,033066028;0,017341309;0,045367792;0,158325786;0,024664103;;;
h4927;56939;56772;62088;45710;58428;;h4927;0,062174547;0,045778577;0,069359422;0,184388116;0,055796895;;;
h4928;61071;60675;65693;49965;62051;;h4928;0,113483302;0,102994049;0,107432175;0,224916761;0,098573328;;;
h4929;62825;62263;67071;53337;63329;;h4929;0,175553704;0,168345524;0,152276872;0,290831622;0,152150691;;;
h4930;64321;63768;68738;55131;65305;;h4930;0,228528779;0,22951277;0,194364724;0,355330467;0,206914969;;;
h4931;66087;65530;70096;56654;67335;;h4931;0,264649726;0,275570295;0,227715493;0,412136907;0,240694583;;;
h4932;65739;65196;69363;55581;67122;;h4932;0,286884677;0,298599058;0,24936027;0,444539412;0,253845606;;;
h4933;65214;63489;67716;54335;66639;;h4933;0,291293481;0,297653732;0,251212305;0,47176262;0,254534017;;;
h4934;64012;63376;65872;53051;65471;;h4934;0,276626397;0,279754525;0,243761752;0,490732118;0,235590847;;;
h4935;62220;62021;64466;52437;64271;;h4935;0,243039645;0,246714605;0,225623118;0,48272079;0,209668613;;;
h4936;60594;60546;63200;52390;62693;;h4936;0,204714296;0,205879618;0,198719127;0,45419638;0,176696102;;;
h4937;59965;60335;62822;51884;61783;;h4937;0,160174964;0,157048103;0,156094044;0,413195729;0,143153872;;;
h4938;59538;59718;61655;51347;61030;;h4938;0,108848851;0,101118894;0,105566002;0,381124903;0,106323885;;;
h4939;58366;58784;60011;49898;59920;;h4939;0,05944942;0,05575874;0,062347136;0,356389289;0,067428666;;;
h4940;55680;56123;57259;47526;57397;;h4940;0,03388183;0,024841929;0,033294219;0,33134751;0,037815126;;;
h4941;54084;54379;55587;46361;55624;;h4941;0,030549191;0,012940119;0,020739966;0,324139867;0,026610644;;;
h4942;51618;52141;53500;46025;53030;;h4942;0,03513157;0,012242747;0,0224789;0,315554478;0,024509804;;;
h4943;46983;47428;49559;43079;48593;;h4943;0,0338124;0,009050335;0,024656101;0,310898213;0,023287281;;;
h4944;43508;43889;46434;40400;45347;;h4944;0,031549902;0,008519735;0,025500756;0,30204493;0,024827619;;;
h4945;41624;42037;44201;38518;43630;;h4945;0,02967565;0,008302869;0,023606576;0,294429065;0,02639418;;;
h4946;40759;41149;42845;38045;42410;;h4946;0,026621314;0,008473264;0,02232023;0,293076835;0,027794591;;;
h4947;40636;41220;42440;37631;42300;;h4947;0,025267688;0,008209926;0,018856989;0,276378063;0,028969511;;;
h4948;41543;42080;42492;37476;43415;;h4948;0,02597921;0,007311482;0,016072262;0,259117988;0,029100058;;;
h4949;43868;44380;42630;36779;46181;;h4949;0,02776669;0,008086003;0,015040357;0,239281022;0,029634113;;;
h4950;50356;50764;44510;37306;53066;;h4950;0,038422158;0,022352686;0,024892922;0,227225759;0,035639264;;;
h4951;56547;56657;48090;39292;58839;;h4951;0,071325686;0,061651899;0,051623482;0,23657656;0,05655048;;;
h4952;60751;60493;52343;42613;62589;;h4952;0,130503445;0,125782267;0,087768401;0,289862098;0,096699541;;;
h4953;62904;62298;55696;45567;64020;;h4953;0,202991861;0,192778363;0,132027197;0,345711771;0,144740746;;;
h4954;65028;64090;57536;47404;65842;;h4954;0,267618833;0,242719499;0,179763369;0,386023549;0,187358327;;;
h4955;66588;65505;58376;48960;67315;;h4955;0,314926331;0,277418056;0,224686541;0,404559313;0,218559001;;;
h4956;66124;64385;57446;48861;66738;;h4956;0,338528018;0,288292335;0,249565328;0,404839965;0,229287571;;;
h4957;65449;63314;55616;46830;65862;;h4957;0,337799143;0,292490241;0,251360559;0,389148988;0,225952695;;;
h4958;64245;61659;53845;45529;64615;;h4958;0,321954775;0,274800173;0,230694203;0,359246833;0,213966129;;;
h4959;62817;60465;52726;44573;63376;;h4959;0,293528626;0,242936365;0,200981016;0,307645205;0,196164299;;;
h4960;61205;59465;51826;43825;62478;;h4960;0,251323256;0,198680216;0,169854261;0,238158415;0,17195381;;;
h4961;60511;58945;52185;45022;61902;;h4961;0,190531559;0,145408637;0,128634635;0,16520175;0,129146343;;;
h4962;59537;58137;52002;46301;61093;;h4962;0,126390504;0,095312597;0,083937633;0,094464785;0,087086552;;;
h4963;58359;56618;51251;46830;59706;;h4963;0,069173767;0,054185513;0,045036258;0,051091352;0,045810043;;;
h4964;56037;53405;49192;46087;57092;;h4964;0,034118321;0,025590185;0,018998346;0,035476916;0,020151672;;;
h4965;54656;51691;48343;45877;55689;;h4965;0,029935963;0,022430138;0,014291167;0,036357142;0,013980371;;;
h4966;52142;49240;47402;45210;52967;;h4966;0,035749614;0,032266559;0,016213618;0,050185613;0,015119688;;;
h4967;47661;45349;44584;42574;48583;;h4967;0,035228988;0,028719252;0,015280664;0,067611527;0,016021647;;;
h4968;44437;42197;41665;40178;45380;;h4968;0,032664319;0,023930115;0,015915869;0,084345032;0,019234877;;;
h4969;42517;40171;39803;38790;43633;;h4969;0,029455132;0,019515822;0,016792231;0,096702204;0,019863778;;;
h4970;41526;39129;38531;37802;42475;;h4970;0,028865336;0,0170686;0,014968833;0,098933891;0,018700904;;;
h4971;41409;38838;37999;37808;42445;;h4971;0,028483703;0,014993108;0,012947545;0,103167721;0,019151814;;;
h4972;42187;38769;37953;39352;43211;;h4972;0,028761254;0,012050245;0,012580039;0,105437666;0,021643686;;;
h4973;44727;38824;37699;43319;46205;;h4973;0,030044929;0,013614609;0,012311476;0,106088043;0,025879868;;;
h4974;51202;40432;38094;51129;52908;;h4974;0,046437802;0,024998838;0,021117503;0,11520608;0,039241047;;;
h4975;57469;43642;40419;57399;59246;;h4975;0,080628654;0,058810774;0,047168078;0,140813099;0,062688374;;;
h4976;61909;47620;43915;61123;62283;;h4976;0,13787361;0,128742469;0,082434591;0,176265048;0,094287681;;;
h4977;64137;50699;46852;62232;63117;;h4977;0,208840009;0,207471772;0,127425898;0,216894511;0,13647151;;;
h4978;66235;52607;49234;64384;64902;;h4978;0,275487016;0,271192479;0,177237197;0,260202;0,190628189;;;
h4979;67510;53973;51542;66012;66678;;h4979;0,32699013;0,315583229;0,220744343;0,290973781;0,234781783;;;
h4980;66597;52957;51328;65478;66673;;h4980;0,355890159;0,3223673;0,24416583;0,317817792;0,255677908;;;
h4981;64736;51067;49868;65026;65701;;h4981;0,35731261;0,327525053;0,251275672;0,332253622;0,262465292;;;
h4982;62966;50262;48607;63538;64922;;h4982;0,343122799;0,328640243;0,245777206;0,341958274;0,261183758;;;
h4983;61917;49323;47718;62688;63311;;h4983;0,310076847;0,300156436;0,228645738;0,341473679;0,248380283;;;
h4984;60987;48653;47527;61238;62336;;h4984;0,254254341;0,255781175;0,186749968;0,327624464;0,22104089;;;
h4985;60735;49321;48298;60558;61306;;h4985;0,189081826;0,195529947;0,144147455;0,306366048;0,17816883;;;
h4986;59009;49383;49062;59873;60757;;h4986;0,122105227;0,123305918;0,09492982;0,26178331;0,128651779;;;
h4987;56864;48228;49238;58814;59406;;h4987;0,075528648;0,065966575;0,058009527;0,214305754;0,083643828;;;
h4988;54064;45640;48671;56022;56931;;h4988;0,055111281;0,04031721;0,028467638;0,171572128;0,052056387;;;
h4989;52129;44228;49041;54939;55250;;h4989;0,060367409;0,042392702;0,013286782;0,168881351;0,041329473;;;
h4990;49571;43043;48893;52384;52507;;h4990;0,073932729;0,059554234;0,013187838;0,177183228;0,045126611;;;
h4991;45631;40020;45669;47663;48263;;h4991;0,081201103;0,067376051;0,014615461;0,186977148;0,046087761;;;
h4992;42000;36896;43223;44638;45334;;h4992;0,062168257;0,062976272;0,012458331;0,196975878;0,041513911;;;
h4993;40074;35308;41504;43089;43342;;h4993;0,061040763;0,063797163;0,011935703;0,203987965;0,03806134;;;
h4994;38682;34436;40818;42303;42373;;h4994;0,052107546;0,073353572;0,012006328;0,207889235;0,03492911;;;
h4995;37994;34261;40997;42221;42646;;h4995;0,045238508;0,087974723;0,012486581;0,205339385;0,030729074;;;
h4996;37615;34071;42441;43174;43557;;h4996;0,040936687;0,101093489;0,013771965;0,206741802;0,028012102;;;
h4997;37991;32985;46073;46044;46491;;h4997;0,045585429;0,098615327;0,012952709;0,205339385;0,024915465;;;
h4998;39758;33150;53809;53124;52809;;h4998;0,056392021;0,113282944;0,023221651;0,220459993;0,030788397;;;
h4999;43097;36005;60633;58795;58454;;h4999;0,084041631;0,132751998;0,04996045;0,251682901;0,055110637;;;
h5000;47314;39961;64906;61946;61441;;h5000;0,129037294;0,161498668;0,088182948;0,306415421;0,08849736;;;
h5001;50861;42929;66570;64090;63037;;h5001;0,18567216;0,225342296;0,138595401;0,366757611;0,132063831;;;
h5002;53117;45070;68412;66351;65152;;h5002;0,237710321;0,282990521;0,193626759;0,408371156;0,177065907;;;
h5003;53574;47318;69938;67733;66866;;h5003;0,254969644;0,32502633;0,237937172;0,433984395;0,203452572;;;
h5004;52560;46797;69575;66243;66225;;h5004;0,253928881;0,332166532;0,266427482;0,450596665;0,213489945;;;
h5005;49978;45754;68895;65437;64728;;h5005;0,250841284;0,329874233;0,272783773;0,470115763;0,21047636;;;
h5006;48215;44953;67826;64891;63376;;h5006;0,244804857;0,313626789;0,257246172;0,471951655;0,202906804;;;
h5007;47232;45075;66722;63730;62117;;h5007;0,218213356;0,284647791;0,231905757;0,456117089;0,189618556;;;
h5008;46927;44955;64884;62524;60939;;h5008;0,173790113;0,229539682;0,196593028;0,415039013;0,16870143;;;
h5009;47409;45498;64305;61936;60842;;h5009;0,142862099;0,155613035;0,155715012;0,359082564;0,136335054;;;
h5010;47302;45822;63508;60910;60450;;h5010;0,103469211;0,096400471;0,107972202;0,293015962;0,090087204;;;
h5011;46883;45280;62303;59978;59097;;h5011;0,059150043;0,070039031;0,063421662;0,237569483;0,050590259;;;
h5012;44814;44189;59811;56528;56686;;h5012;0,023972246;0,055588254;0,040101136;0,190218777;0,026291748;;;
h5013;44069;43941;58296;54715;55102;;h5013;0,018178664;0,042206183;0,042742528;0,17185986;0,025390046;;;
h5014;42687;43399;55213;51438;52316;;h5014;0,020329575;0,034709745;0,044268038;0,167601612;0,031251112;;;
h5015;39377;40332;50741;47296;48281;;h5015;0,020624458;0,03642897;0,048180688;0,170431945;0,037100314;;;
h5016;36761;38212;47523;44831;45231;;h5016;0,023554715;0,04062171;0,045282061;0,173875355;0,042755006;;;
h5017;34614;36978;45612;43287;43535;;h5017;0,023242503;0,034475819;0,040288338;0,176348363;0,043952526;;;
h5018;33384;36361;44625;42123;42480;;h5018;0,021473297;0,025852994;0,039329092;0,178133007;0,044272655;;;
h5019;32870;36909;44735;42229;42401;;h5019;0,022843564;0,02300452;0,033982705;0,175889454;0,046430562;;;
h5020;33192;38193;45641;43120;43529;;h5020;0,024283212;0,018824695;0,032459197;0,174168547;0,046063006;;;
h5021;33002;41697;48759;46395;46261;;h5021;0,022912945;0,02244721;0,029722524;0,168049766;0,043667967;;;
h5022;33294;49205;55760;53097;52728;;h5022;0,026225869;0,0263329;0,038623764;0,171861257;0,054101801;;;
h5023;35246;55892;62129;58756;58451;;h5023;0,04592996;0,041395752;0,051333775;0,199637972;0,073795663;;;
h5024;38378;59690;65977;61930;61565;;h5024;0,078816367;0,063966809;0,075385462;0,259410812;0,109069136;;;
h5025;41284;60878;67667;63949;62988;;h5025;0,124139247;0,102777262;0,111187913;0,317513735;0,158819554;;;
h5026;43279;63040;69400;65585;64679;;h5026;0,185055418;0,15078333;0,14373175;0,350810101;0,208735965;;;
h5027;46028;64330;71143;67347;65286;;h5027;0,235529808;0,165830702;0,167670584;0,366871901;0,237903274;;;
h5028;45426;63344;70396;66608;64083;;h5028;0,268121347;0,175846802;0,183540465;0,362652491;0,269845034;;;
h5029;43442;62751;69340;65624;62816;;h5029;0,29086084;0,182224906;0,190988729;0,35588359;0,292467483;;;
h5030;42099;61775;68226;64395;61514;;h5030;0,294988986;0,175289492;0,19086177;0,372671995;0,299711884;;;
h5031;40794;60281;67251;64013;60544;;h5031;0,289455883;0,151495449;0,193090606;0,390492944;0,292040645;;;
h5032;40413;59349;65792;62764;58996;;h5032;0,259119213;0,131587095;0,175429192;0,387815978;0,267497421;;;
h5033;41447;58781;64954;62597;58753;;h5033;0,206684821;0,102963032;0,140388495;0,365979579;0,219264652;;;
h5034;42706;57855;64084;60919;57633;;h5034;0,145022809;0,072605115;0,095529631;0,325748595;0,159495382;;;
h5035;42930;56828;62845;60142;56047;;h5035;0,090194786;0,059786984;0,070039075;0,279755759;0,10022409;;;
h5036;42611;54312;60141;57927;53498;;h5036;0,043553675;0,049755403;0,048371398;0,238912897;0,056615407;;;
h5037;42744;52155;58768;56613;51699;;h5037;0,034291364;0,059802465;0,035689599;0,232194985;0,046703264;;;
h5038;42342;48870;55174;53778;49325;;h5038;0,037708359;0,046767602;0,03429305;0,240519077;0,052643436;;;
h5039;38805;44185;50739;49294;45785;;h5039;0,039963228;0,053733977;0,034236623;0,249289329;0,059935263;;;
h5040;36244;40750;47637;46220;43349;;h5040;0,03942236;0,061294563;0,031630684;0,256687013;0,061622659;;;
h5041;34844;39504;45889;44145;41452;;h5041;0,039179654;0,07014152;0,028138071;0,255463663;0,06387339;;;
h5042;34127;38407;44930;42939;40245;;h5042;0,035365706;0,075786869;0,029630881;0,25667427;0,066112276;;;
h5043;34166;38733;44959;42817;39760;;h5043;0,029263388;0,084571959;0,032067261;0,252163164;0,069440989;;;
h5044;35623;39609;46072;44066;39850;;h5044;0,034429555;0,088593303;0,028814061;0,247830464;0,070210976;;;
h5045;39453;42278;49127;47251;40065;;h5045;0,041953435;0,087696234;0,029433718;0,24395652;0,071845718;;;
h5046;46884;48057;56184;54054;41703;;h5046;0,055961028;0,090712242;0,033602321;0,248951869;0,081843704;;;
h5047;52836;53943;62589;60155;45043;;h5047;0,08466966;0,112582167;0,047051699;0,27994342;0,105926531;;;
h5048;57432;57637;66318;63162;48666;;h5048;0,139555848;0,16142603;0,065937161;0,332942541;0,150029023;;;
h5049;59228;59044;68043;64909;51672;;h5049;0,214881334;0,225953136;0,093089414;0,393676806;0,202245993;;;
h5050;60345;60718;69724;66921;53491;;h5050;0,286375535;0,283798623;0,118396778;0,438634945;0,249345511;;;
h5051;62375;61833;71113;69100;54513;;h5051;0,335939532;0,346021189;0,14753475;0,456144151;0,277562576;;;
h5052;61627;60982;69731;68411;53607;;h5052;0,373766968;0,374077798;0,169279085;0,456832286;0,288970231;;;
h5053;60576;60043;68623;66903;51572;;h5053;0,382937781;0,38134715;0,18907995;0,455545219;0,291528957;;;
h5054;60033;58570;67602;66556;50438;;h5054;0,386925091;0,382012219;0,19783965;0,446752386;0,29453783;;;
h5055;59394;57749;66379;64657;50118;;h5055;0,369103549;0,369747119;0,197403073;0,416920469;0,282182499;;;
h5056;57465;56481;64818;63161;49599;;h5056;0,305948026;0,324506999;0,178573943;0,385788743;0,247758153;;;
h5057;56212;56467;64238;62121;49610;;h5057;0,248877486;0,264001237;0,144295633;0,333337581;0,197116695;;;
h5058;55435;55627;63318;60935;49569;;h5058;0,159561743;0,183435156;0,110918642;0,277178138;0,13214163;;;
h5059;54513;54811;61990;59447;48339;;h5059;0,088275575;0,113123502;0,078992212;0,217667223;0,07043605;;;
h5060;52663;53197;59433;56244;46177;;h5060;0,050985559;0,067063646;0,052713113;0,159366916;0,030361183;;;
h5061;51756;51772;57904;54441;45548;;h5061;0,041225318;0,055943083;0,046924951;0,142749736;0,016442186;;;
h5062;49093;49076;55082;51732;43980;;h5062;0,040982612;0,055571882;0,050178151;0,140290291;0,012746248;;;
h5063;44331;44712;50430;47421;41428;;h5063;0,037116655;0,0624855;0,052192037;0,135243969;0,00992691;;;
h5064;41361;42144;47469;44080;38580;;h5064;0,03797907;0,071979752;0,054846276;0,133186466;0,00730731;;;
h5065;39485;40052;45449;42237;37167;;h5065;0,034808372;0,083832335;0,050169244;0,127099543;0,006809892;;;
h5066;38431;39215;44330;41055;36245;;h5066;0,038100353;0,100824125;0,043371396;0,122782666;0,006525653;;;
h5067;38412;38835;44436;41091;35653;;h5067;0,039365167;0,110037657;0,042767455;0,121190898;0,006501966;;;
h5068;39523;39246;45405;41981;35434;;h5068;0,043315545;0,118988826;0,045365806;0,117714475;0,008669288;;;
h5069;42479;41992;48216;45015;35341;;h5069;0,047023356;0,122106303;0,044972542;0,112251525;0,010694491;;;
h5070;48756;48165;54739;51463;35516;;h5070;0,05263705;0,127399839;0,049298445;0,114849291;0,020169122;;;
h5071;54799;53611;60671;57079;38065;;h5071;0,074970545;0,146259028;0,064832371;0,135491347;0,04161732;;;
h5072;58983;56536;64382;60470;41019;;h5072;0,122444383;0,197759121;0,106377899;0,188032447;0,065872377;;;
h5073;60649;57724;65862;61782;43876;;h5073;0,190813639;0,257546762;0,169159679;0,258796114;0,0919513;;;
h5074;62048;59385;67622;63959;46312;;h5074;0,257623536;0,320374714;0,220087361;0,302117689;0,117651239;;;
h5075;63731;60991;68884;64418;48559;;h5075;0,307367108;0,354497191;0,252686133;0,320085573;0,133722583;;;
h5076;63735;60486;68201;64068;48132;;h5076;0,321141451;0,34872523;0,270832456;0,333405494;0,140579847;;;
h5077;63418;59699;67314;62555;47239;;h5077;0,305738443;0,357707266;0,272854956;0,338295407;0,145565872;;;
h5078;62123;58791;65988;60683;45550;;h5078;0,271605794;0,347629483;0,267925111;0,329381502;0,139679757;;;
h5079;60780;57998;64834;58953;44797;;h5079;0,241562132;0,333971233;0,249188893;0,303518445;0,144227581;;;
h5080;59134;56596;63351;57736;44373;;h5080;0,204293437;0,294493487;0,21254512;0,261597626;0,138625705;;;
h5081;58545;56415;62726;57282;45561;;h5081;0,154463234;0,236573245;0,160971362;0,200893937;0,134137098;;;
h5082;57935;56132;61815;56229;46511;;h5082;0,093544251;0,167078215;0,103737412;0,128500299;0,114832536;;;
h5083;56846;55039;60507;54785;46042;;h5083;0,043211588;0,09326193;0,04980407;0,067210839;0,09105121;;;
h5084;54582;53021;58275;52384;45661;;h5084;0,012908032;0,045944194;0,015224933;0,033032383;0,069614856;;;
h5085;53422;51801;57414;50959;45545;;h5085;0,00654931;0,0273628;0,00647481;0,034980708;0,061573263;;;
h5086;50196;49139;54908;48548;45116;;h5086;0,007173054;0,026745478;0,007893369;0,045639191;0,069046378;;;
h5087;45008;44596;50192;44864;42080;;h5087;0,007779472;0,025217606;0,010393404;0,051114875;0,073890284;;;
h5088;41945;43078;47006;42261;39660;;h5088;0,010825323;0,025574974;0,016374335;0,051469465;0,073922822;;;
h5089;40114;41565;44780;40314;38353;;h5089;0,014964926;0,026978667;0,020488983;0,050858249;0,077272727;;;
h5090;39171;40818;43704;38921;37667;;h5090;0,016315926;0,026299958;0,021879257;0,052118881;0,082990057;;;
h5091;39319;40942;43655;38223;37914;;h5091;0,017666926;0,024618612;0,022117991;0,056639332;0,088375947;;;
h5092;40346;41925;44838;38039;39264;;h5092;0,016194683;0,026130281;0,023929559;0,060268426;0,090080492;;;
h5093;43046;44509;47556;38413;42475;;h5093;0,016610375;0,025960604;0,02273589;0,060892375;0,087464489;;;
h5094;49292;50549;53608;40238;49198;;h5094;0,030639993;0,035570501;0,034110857;0,071741456;0,094744318;;;
h5095;55236;56344;59356;44244;55681;;h5095;0,067047718;0,067438955;0,072954261;0,098138339;0,117518939;;;
