;d;d;d;d;d;;;renewable;renewable;renewable;renewable;renewable;;;
h145;46447;40382;49502;46416;47640;;h145;0,234257312;0,050849386;0,220155633;0,124076037;0,079004689;;;
h146;43758;38325;47506;44132;45625;;h146;0,245383292;0,043160205;0,232196545;0,116147727;0,080099925;;;
h147;42190;37916;46648;43290;44843;;h147;0,253641751;0,034365602;0,245991275;0,111157319;0,082610354;;;
h148;41724;38550;47160;43507;45177;;h148;0,255228446;0,028708445;0,259859695;0,117462404;0,085428434;;;
h149;41905;40628;48818;44237;46586;;h149;0,256394571;0,025034544;0,259358604;0,117945347;0,086917463;;;
h150;41448;44797;52602;47373;49635;;h150;0,265570637;0,020255222;0,245151211;0,114215956;0,087335868;;;
h151;41218;53045;60868;55610;56837;;h151;0,286388836;0,016808908;0,255615162;0,114484257;0,093218149;;;
h152;43859;60924;68674;62328;63351;;h152;0,303020455;0,012988702;0,253301303;0,109238963;0,103382927;;;
h153;47770;63570;71033;64978;65719;;h153;0,308564328;0,010956677;0,250176856;0,104664422;0,114655247;;;
h154;51019;64136;70601;65572;66195;;h154;0,328235519;0,017345363;0,268407711;0,106247401;0,143820529;;;
h155;53482;64880;71044;66810;66388;;h155;0,346377366;0,030561652;0,316807169;0,119850288;0,170364628;;;
h156;55056;66033;71925;67493;67693;;h156;0,351978589;0,04493213;0,36228851;0,137893565;0,182178413;;;
h157;54528;65701;71439;67195;67858;;h157;0,355840184;0,055482403;0,374034664;0,150772038;0,176283826;;;
h158;53607;65418;70774;66554;67034;;h158;0,356566622;0,054945948;0,336806579;0,154192882;0,164654631;;;
h159;52170;64441;69483;65302;66516;;h159;0,338615943;0,045371048;0,268672994;0,135773983;0,164310063;;;
h160;51935;63914;69050;64682;65969;;h160;0,320474097;0,029830123;0,202322702;0,110379244;0,174007211;;;
h161;53699;64546;70110;65305;66703;;h161;0,319231504;0,017426644;0,176030183;0,102813141;0,186165565;;;
h162;56965;66899;74300;68539;69269;;h162;0,288721086;0,016500041;0,187348936;0,116483104;0,198299307;;;
h163;56909;66623;74355;68348;68865;;h163;0,283597782;0,01927985;0,216485881;0,136699623;0,216512226;;;
h164;55040;64746;72381;66643;66475;;h164;0,283043395;0,021230594;0,234569357;0,152556243;0,227932218;;;
h165;51448;60791;68099;63117;62274;;h165;0,281380233;0,023864098;0,236573719;0,171753216;0,241308869;;;
h166;49164;57524;64209;60308;58430;;h166;0,275071688;0,028708445;0,230766963;0,188065949;0,255140842;;;
h167;49071;54826;60837;58367;56360;;h167;0,271573313;0,031927172;0,210797029;0,195672297;0,263016699;;;
h168;45729;49792;55626;54069;52276;;h168;0,27482317;0,035763635;0,199890939;0,198623613;0,265354844;;;
h169;41994;46059;51708;50526;49301;;h169;0,269432231;0,040938714;0,192838196;0,202017221;0,276330524;;;
h170;39252;43866;49274;48193;47351;;h170;0,262282546;0,043636541;0,178101975;0,212572762;0,280686642;;;
h171;38273;43220;48234;47376;46165;;h171;0,257197477;0,044026588;0,161847922;0,220995735;0,281400357;;;
h172;37783;43801;48974;47375;46483;;h172;0,24796406;0,046155596;0,155555556;0,224818262;0,288660555;;;
h173;38333;45056;50471;48351;47601;;h173;0,24144523;0,051177455;0,161906867;0,22610585;0,291638467;;;
