;d;renewable
h477;69238;0.024124422
h478;65862;0.020678076
h479;63047;0.019087455
h480;58617;0.015832572
h481;54931;0.01516825
h482;52725;0.014741183
h483;51684;0.012546941
h484;51931;0.010411604
h485;53367;0.010161255
h486;56749;0.010146528
h487;64921;0.01026434
h488;72304;0.010190708
h489;74951;0.009955084
h490;74936;0.01284147
h491;75928;0.018084088
h492;76929;0.024004123
h493;76337;0.027420661
h494;75941;0.026566527
h495;75190;0.022295855
h496;74397;0.016626169
h497;74227;0.010823945
h498;76858;0.007363228
h499;76512;0.007849201
h500;74343;0.008364627
h501;70094;0.008983138
h502;66639;0.009366026
h503;63654;0.009645829
h504;59021;0.008938959
h505;55168;0.008702567
h506;52963;0.010248708
h507;51986;0.012280779
h508;52312;0.015240535
h509;53738;0.018170841
h510;57077;0.020806644
h511;65187;0.024532108
h512;72344;0.025445068
h513;74830;0.030201293
h514;74836;0.043984038
h515;75571;0.057634257
h516;76595;0.070592393
h517;75786;0.075157191
h518;75235;0.069753059
h519;74252;0.06124192
h520;73618;0.052716055
h521;73524;0.046325338
h522;76754;0.048946415
h523;76891;0.053599564
h524;74928;0.054453623
h525;70313;0.054100219
h526;66824;0.055661086
h527;64162;0.054365272
h528;59631;0.054541974
h529;55798;0.053896888
h530;53485;0.055089362
h531;52600;0.054647705
h532;52764;0.053131349
h533;54074;0.053101905
h534;57428;0.054706592
h535;65400;0.058063186
h536;72755;0.060816182
h537;74737;0.06451138
h538;74769;0.073756735
h539;75499;0.089347231
h540;76209;0.106939905
h541;75733;0.118246327
h542;75369;0.113829756
h543;74667;0.104186909
h544;74010;0.096693461
h545;74014;0.095309602
h546;76987;0.101507523
h547;76963;0.108205989
h548;75001;0.110237612
h549;70711;0.106380473
h550;67321;0.097517887
h551;64584;0.090937196
h552;59993;0.089847776
h553;56300;0.086928364
h554;54154;0.080702374
h555;52963;0.078597607
h556;53263;0.072872051
h557;54424;0.068677235
h558;57567;0.072739583
h559;65489;0.07429976
h560;72713;0.074020106
h561;75397;0.072136118
h562;75383;0.076169029
h563;76233;0.084470349
h564;76689;0.091079024
h565;76027;0.090563872
h566;74608;0.085912777
h567;73112;0.075536127
h568;72241;0.062465963
h569;72176;0.055136074
h570;75314;0.057638245
h571;75311;0.064291076
h572;72621;0.06752918
h573;68478;0.068927452
h574;65041;0.067808834
h575;63084;0.064379388
h576;59138;0.056004474
h577;55985;0.050322334
h578;53497;0.050587266
h579;52021;0.052250449
h580;51357;0.047275617
h581;51310;0.052515381
h582;50866;0.059256425
h583;51344;0.060904889
h584;54866;0.065953313
h585;58518;0.074504725
h586;61914;0.081569574
h587;64004;0.090356481
h588;64859;0.104059345
h589;63964;0.112493009
h590;62258;0.111609903
h591;60652;0.099732124
h592;60066;0.08960584
h593;60506;0.092858615
h594;64889;0.100173678
h595;66300;0.124076418
h596;64062;0.152056166
h597;60168;0.160460393
h598;57710;0.156074299
h599;57353;0.163050837
h600;54701;0.165935651
h601;51939;0.15877548
h602;49534;0.14733976
h603;48026;0.132195158
h604;47128;0.127720951
h605;46669;0.116388255
h606;45803;0.105070277
h607;44822;0.099904334
h608;46381;0.091309147
h609;49747;0.081153874
h610;53585;0.079505482
h611;56557;0.085686953
h612;59318;0.095297667
h613;59092;0.104334388
h614;57148;0.115063654
h615;55663;0.111487232
h616;55177;0.109676945
h617;56032;0.105276326
h618;61110;0.114254176
h619;63508;0.137920377
h620;62205;0.153447641
h621;59638;0.160997866
h622;58442;0.166958569
h623;58874;0.163985577
h624;55738;0.162484362
h625;52538;0.167723521
h626;50737;0.17532993
h627;49776;0.174609013
h628;49926;0.171342818
h629;51416;0.162691815
h630;55402;0.163486295
h631;64623;0.150509791
h632;71923;0.137577425
h633;74223;0.142241316
h634;74588;0.148332328
h635;75327;0.164104224
h636;75936;0.169871559
h637;75302;0.15805735
h638;74754;0.143639012
h639;73631;0.1272639
h640;72978;0.100045609
h641;72430;0.072135827
h642;75999;0.068472392
h643;77002;0.071562036
h644;75203;0.076270064
h645;71013;0.087760597
h646;67774;0.095940797
h647;64980;0.093130692
h648;60491;0.089320131
h649;56779;0.082809949
h650;54777;0.08381014
h651;53641;0.082751114
h652;53987;0.085457514
h653;55146;0.079441658
h654;58378;0.07930928
h655;66476;0.085251592
