left,top,right,bottom,id,X,Y,CTR_N,CTR,CST_N,GRED_CST
9.5948387388,52.2847458940,10.0948387390,52.7847458940,143,9.5948387388,52.2847458940,Germany,276.00,Niedersachsen,27600909.00
9.5948387388,51.7847458940,10.0948387390,52.2847458940,144,9.5948387388,51.7847458940,Germany,276.00,Niedersachsen,27600909.00
9.5948387388,51.2847458940,10.0948387390,51.7847458940,145,9.5948387388,51.2847458940,Germany,276.00,Hessen,27600907.00
9.5948387388,50.7847458940,10.0948387390,51.2847458940,146,9.5948387388,50.7847458940,Germany,276.00,Hessen,27600907.00
9.5948387388,50.2847458940,10.0948387390,50.7847458940,147,9.5948387388,50.2847458940,Germany,276.00,Hessen,27600907.00
9.5948387388,49.7847458940,10.0948387390,50.2847458940,148,9.5948387388,49.7847458940,Germany,276.00,Bayern,27600902.00
9.5948387388,49.2847458940,10.0948387390,49.7847458940,149,9.5948387388,49.2847458940,Germany,276.00,Baden-Württemberg,27600901.00
9.5948387388,48.7847458940,10.0948387390,49.2847458940,150,9.5948387388,48.7847458940,Germany,276.00,Baden-Württemberg,27600901.00
9.5948387388,48.2847458940,10.0948387390,48.7847458940,151,9.5948387388,48.2847458940,Germany,276.00,Baden-Württemberg,27600901.00
9.5948387388,47.7847458940,10.0948387390,48.2847458940,152,9.5948387388,47.7847458940,Germany,276.00,Baden-Württemberg,27600901.00
10.0948387390,54.2847458940,10.5948387390,54.7847458940,156,10.0948387390,54.2847458940,Germany,276.00,Schleswig-Holstein,27600915.00
10.0948387390,53.7847458940,10.5948387390,54.2847458940,157,10.0948387390,53.7847458940,Germany,276.00,Schleswig-Holstein,27600915.00
10.0948387390,53.2847458940,10.5948387390,53.7847458940,158,10.0948387390,53.2847458940,Germany,276.00,Niedersachsen,27600909.00
10.0948387390,52.7847458940,10.5948387390,53.2847458940,159,10.0948387390,52.7847458940,Germany,276.00,Niedersachsen,27600909.00
10.0948387390,52.2847458940,10.5948387390,52.7847458940,160,10.0948387390,52.2847458940,Germany,276.00,Niedersachsen,27600909.00
10.0948387390,51.7847458940,10.5948387390,52.2847458940,161,10.0948387390,51.7847458940,Germany,276.00,Niedersachsen,27600909.00
10.0948387390,51.2847458940,10.5948387390,51.7847458940,162,10.0948387390,51.2847458940,Germany,276.00,Thüringen,27600916.00
10.0948387390,50.7847458940,10.5948387390,51.2847458940,163,10.0948387390,50.7847458940,Germany,276.00,Thüringen,27600916.00
10.0948387390,50.2847458940,10.5948387390,50.7847458940,164,10.0948387390,50.2847458940,Germany,276.00,Bayern,27600902.00
10.0948387390,49.7847458940,10.5948387390,50.2847458940,165,10.0948387390,49.7847458940,Germany,276.00,Bayern,27600902.00
10.0948387390,49.2847458940,10.5948387390,49.7847458940,166,10.0948387390,49.2847458940,Germany,276.00,Baden-Württemberg,27600901.00
10.0948387390,48.7847458940,10.5948387390,49.2847458940,167,10.0948387390,48.7847458940,Germany,276.00,Baden-Württemberg,27600901.00
10.0948387390,48.2847458940,10.5948387390,48.7847458940,168,10.0948387390,48.2847458940,Germany,276.00,Bayern,27600902.00
10.0948387390,47.7847458940,10.5948387390,48.2847458940,169,10.0948387390,47.7847458940,Germany,276.00,Bayern,27600902.00
10.5948387390,54.2847458940,11.0948387390,54.7847458940,173,10.5948387390,54.2847458940,Germany,276.00,Schleswig-Holstein,27600915.00
10.5948387390,53.7847458940,11.0948387390,54.2847458940,174,10.5948387390,53.7847458940,Germany,276.00,Schleswig-Holstein,27600915.00
10.5948387390,53.2847458940,11.0948387390,53.7847458940,175,10.5948387390,53.2847458940,Germany,276.00,Niedersachsen,27600909.00
10.5948387390,52.7847458940,11.0948387390,53.2847458940,176,10.5948387390,52.7847458940,Germany,276.00,Niedersachsen,27600909.00
10.5948387390,52.2847458940,11.0948387390,52.7847458940,177,10.5948387390,52.2847458940,Germany,276.00,Niedersachsen,27600909.00
10.5948387390,51.7847458940,11.0948387390,52.2847458940,178,10.5948387390,51.7847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
10.5948387390,51.2847458940,11.0948387390,51.7847458940,179,10.5948387390,51.2847458940,Germany,276.00,Thüringen,27600916.00
10.5948387390,50.7847458940,11.0948387390,51.2847458940,180,10.5948387390,50.7847458940,Germany,276.00,Thüringen,27600916.00
10.5948387390,50.2847458940,11.0948387390,50.7847458940,181,10.5948387390,50.2847458940,Germany,276.00,Bayern,27600902.00
10.5948387390,49.7847458940,11.0948387390,50.2847458940,182,10.5948387390,49.7847458940,Germany,276.00,Bayern,27600902.00
10.5948387390,49.2847458940,11.0948387390,49.7847458940,183,10.5948387390,49.2847458940,Germany,276.00,Bayern,27600902.00
10.5948387390,48.7847458940,11.0948387390,49.2847458940,184,10.5948387390,48.7847458940,Germany,276.00,Bayern,27600902.00
10.5948387390,48.2847458940,11.0948387390,48.7847458940,185,10.5948387390,48.2847458940,Germany,276.00,Bayern,27600902.00
10.5948387390,47.7847458940,11.0948387390,48.2847458940,186,10.5948387390,47.7847458940,Germany,276.00,Bayern,27600902.00
11.0948387390,53.7847458940,11.5948387390,54.2847458940,191,11.0948387390,53.7847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
11.0948387390,53.2847458940,11.5948387390,53.7847458940,192,11.0948387390,53.2847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
11.0948387390,52.7847458940,11.5948387390,53.2847458940,193,11.0948387390,52.7847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
11.0948387390,52.2847458940,11.5948387390,52.7847458940,194,11.0948387390,52.2847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
11.0948387390,51.7847458940,11.5948387390,52.2847458940,195,11.0948387390,51.7847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
11.0948387390,51.2847458940,11.5948387390,51.7847458940,196,11.0948387390,51.2847458940,Germany,276.00,Thüringen,27600916.00
11.0948387390,50.7847458940,11.5948387390,51.2847458940,197,11.0948387390,50.7847458940,Germany,276.00,Thüringen,27600916.00
11.0948387390,50.2847458940,11.5948387390,50.7847458940,198,11.0948387390,50.2847458940,Germany,276.00,Bayern,27600902.00
11.0948387390,49.7847458940,11.5948387390,50.2847458940,199,11.0948387390,49.7847458940,Germany,276.00,Bayern,27600902.00
11.0948387390,49.2847458940,11.5948387390,49.7847458940,200,11.0948387390,49.2847458940,Germany,276.00,Bayern,27600902.00
11.0948387390,48.7847458940,11.5948387390,49.2847458940,201,11.0948387390,48.7847458940,Germany,276.00,Bayern,27600902.00
11.0948387390,48.2847458940,11.5948387390,48.7847458940,202,11.0948387390,48.2847458940,Germany,276.00,Bayern,27600902.00
11.0948387390,47.7847458940,11.5948387390,48.2847458940,203,11.0948387390,47.7847458940,Germany,276.00,Bayern,27600902.00
11.5948387390,53.7847458940,12.0948387390,54.2847458940,208,11.5948387390,53.7847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
11.5948387390,53.2847458940,12.0948387390,53.7847458940,209,11.5948387390,53.2847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
11.5948387390,52.7847458940,12.0948387390,53.2847458940,210,11.5948387390,52.7847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
11.5948387390,52.2847458940,12.0948387390,52.7847458940,211,11.5948387390,52.2847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
11.5948387390,51.7847458940,12.0948387390,52.2847458940,212,11.5948387390,51.7847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
11.5948387390,51.2847458940,12.0948387390,51.7847458940,213,11.5948387390,51.2847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
11.5948387390,50.7847458940,12.0948387390,51.2847458940,214,11.5948387390,50.7847458940,Germany,276.00,Thüringen,27600916.00
11.5948387390,50.2847458940,12.0948387390,50.7847458940,215,11.5948387390,50.2847458940,Germany,276.00,Bayern,27600902.00
11.5948387390,49.7847458940,12.0948387390,50.2847458940,216,11.5948387390,49.7847458940,Germany,276.00,Bayern,27600902.00
11.5948387390,49.2847458940,12.0948387390,49.7847458940,217,11.5948387390,49.2847458940,Germany,276.00,Bayern,27600902.00
11.5948387390,48.7847458940,12.0948387390,49.2847458940,218,11.5948387390,48.7847458940,Germany,276.00,Bayern,27600902.00
11.5948387390,48.2847458940,12.0948387390,48.7847458940,219,11.5948387390,48.2847458940,Germany,276.00,Bayern,27600902.00
11.5948387390,47.7847458940,12.0948387390,48.2847458940,220,11.5948387390,47.7847458940,Germany,276.00,Bayern,27600902.00
12.0948387390,53.7847458940,12.5948387390,54.2847458940,225,12.0948387390,53.7847458940,Germany,276.00,Mecklenburg-Vorpommern,27600908.00
12.0948387390,53.2847458940,12.5948387390,53.7847458940,226,12.0948387390,53.2847458940,Germany,276.00,Brandenburg,27600904.00
12.0948387390,52.7847458940,12.5948387390,53.2847458940,227,12.0948387390,52.7847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
12.0948387390,52.2847458940,12.5948387390,52.7847458940,228,12.0948387390,52.2847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
12.0948387390,51.7847458940,12.5948387390,52.2847458940,229,12.0948387390,51.7847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
12.0948387390,51.2847458940,12.5948387390,51.7847458940,230,12.0948387390,51.2847458940,Germany,276.00,Sachsen-Anhalt,27600914.00
