hour,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,,pv1,pv2,pv3,pv4,pv5,pv6,,wind1,wind2,wind3,wind4,wind5,wind6
96,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0.5,0,0,,0,0,0,0,0,0,,0.098551724,0.141333333,0.2166875,0.209571429,0.18195,0.183785714
97,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,0,,0,0,0,0,0,0,,0.085655172,0.122909091,0.2071875,0.217428571,0.16905,0.172
98,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0.5,0,,0,0,0,0,0,0,,0.084344828,0.114,0.197,0.221785714,0.1636,0.138785714
99,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0.5,0,,0,0,0,0,0,0,,0.102310345,0.115454545,0.1928125,0.218964286,0.1561,0.123285714
100,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0.5,0,,0,0,0,0,0,0,,0.139068966,0.131030303,0.205375,0.213535714,0.14815,0.094285714
101,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,,0,0,0,0,0,0,,0.166586207,0.152878788,0.232625,0.205821429,0.1486,0.066714286
102,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,,0,0,0,0,0,0,,0.18737931,0.166,0.25025,0.195107143,0.1739,0.064714286
103,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0.5,0,,0,0,0,0,0,0,,0.19037931,0.169393939,0.2551875,0.186107143,0.19715,0.095928571
104,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0.5,0,0,,0.002655172,0.000212121,0,0.001678571,0,0.000714286,,0.203655172,0.177333333,0.2463125,0.178821429,0.23005,0.140714286
105,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0.5,0,0,,0.020689655,0.018454545,0.022625,0.025642857,0.00215,0.018928571,,0.20262069,0.188878788,0.23225,0.171785714,0.2741,0.164857143
106,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,0,0,,0.030827586,0.049848485,0.1079375,0.091178571,0.0215,0.033714286,,0.198655172,0.183878788,0.231375,0.15775,0.27215,0.178357143
107,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,,0.046931034,0.089090909,0.2618125,0.115964286,0.0899,0.058142857,,0.188310345,0.178727273,0.2315625,0.15925,0.26975,0.219428571
108,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,0,,0.073758621,0.14330303,0.380125,0.09825,0.14885,0.073214286,,0.175034483,0.171575758,0.22075,0.176428571,0.28575,0.2335
109,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0.09737931,0.182060606,0.4161875,0.053285714,0.18,0.057785714,,0.151689655,0.151878788,0.218125,0.180678571,0.2744,0.268785714
110,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0.097241379,0.165545455,0.3245625,0.019321429,0.1603,0.028285714,,0.125827586,0.143,0.2145625,0.188785714,0.2581,0.289714286
111,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0.043172414,0.071242424,0.146875,0.00175,0.0613,0.008642857,,0.114793103,0.139454545,0.200625,0.203607143,0.2499,0.3095
112,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,31.03,0,0,0,0,0,,0.001344828,0.000878788,0.002875,0,0,0,,0.124896552,0.163030303,0.2294375,0.222821429,0.26025,0.323
